Input feed cut file input-unit/svv-dual-band-2.204GHz-rhcp.cut, CF(dB)=-0.30, complex field for theta,phi degrees
    THETA    PHI        POL-1,real         POL-1,imag         POL-2,real         POL-2,imag
    0.00     0.00       2.323721E+00       1.411772E+00      -8.938741E-03      -5.061192E-03
    1.00     0.00       2.322659E+00       1.411618E+00      -9.353822E-03      -5.160064E-03
    2.00     0.00       2.319733E+00       1.411118E+00      -1.000741E-02      -4.984698E-03
    3.00     0.00       2.314951E+00       1.410263E+00      -1.089226E-02      -4.540728E-03
    4.00     0.00       2.308327E+00       1.409039E+00      -1.199954E-02      -3.835280E-03
    5.00     0.00       2.299963E+00       1.407370E+00      -1.331947E-02      -2.876324E-03
    6.00     0.00       2.289726E+00       1.405357E+00      -1.483829E-02      -1.673725E-03
    7.00     0.00       2.277726E+00       1.402911E+00      -1.654254E-02      -2.368500E-04
    8.00     0.00       2.264001E+00       1.400007E+00      -1.841640E-02       1.424511E-03
    9.00     0.00       2.248598E+00       1.396616E+00      -2.044242E-02       3.300917E-03
   10.00     0.00       2.231570E+00       1.392711E+00      -2.260182E-02       5.383757E-03
   11.00     0.00       2.212981E+00       1.388265E+00      -2.487477E-02       7.665731E-03
   12.00     0.00       2.192901E+00       1.383252E+00      -2.724095E-02       1.014132E-02
   13.00     0.00       2.171408E+00       1.377653E+00      -2.968012E-02       1.280722E-02
   14.00     0.00       2.148591E+00       1.371453E+00      -3.217300E-02       1.566261E-02
   15.00     0.00       2.124547E+00       1.364627E+00      -3.469947E-02       1.870871E-02
   16.00     0.00       2.099360E+00       1.357217E+00      -3.725117E-02       2.195093E-02
   17.00     0.00       2.073138E+00       1.349216E+00      -3.981455E-02       2.539568E-02
   18.00     0.00       2.045983E+00       1.340651E+00      -4.238499E-02       2.905122E-02
   19.00     0.00       2.017991E+00       1.331561E+00      -4.496456E-02       3.292623E-02
   20.00     0.00       1.989253E+00       1.322000E+00      -4.756301E-02       3.702820E-02
   21.00     0.00       1.959847E+00       1.312033E+00      -5.019843E-02       4.136139E-02
   22.00     0.00       1.929837E+00       1.301733E+00      -5.289736E-02       4.592435E-02
   23.00     0.00       1.899265E+00       1.291180E+00      -5.569423E-02       5.070712E-02
   24.00     0.00       1.868154E+00       1.280454E+00      -5.862979E-02       5.568833E-02
   25.00     0.00       1.836500E+00       1.269628E+00      -6.174859E-02       6.083242E-02
   26.00     0.00       1.804277E+00       1.258759E+00      -6.509525E-02       6.608735E-02
   27.00     0.00       1.771437E+00       1.247884E+00      -6.870969E-02       7.138328E-02
   28.00     0.00       1.737918E+00       1.237007E+00      -7.262143E-02       7.663254E-02
   29.00     0.00       1.703652E+00       1.226098E+00      -7.684342E-02       8.173147E-02
   30.00     0.00       1.668577E+00       1.215126E+00      -8.137374E-02       8.656713E-02
   31.00     0.00       1.632624E+00       1.203881E+00      -8.615791E-02       9.100744E-02
   32.00     0.00       1.595802E+00       1.192295E+00      -9.113821E-02       9.494147E-02
   33.00     0.00       1.558139E+00       1.180163E+00      -9.620803E-02       9.826166E-02
   34.00     0.00       1.519724E+00       1.167301E+00      -1.012334E-01       1.008856E-01
   35.00     0.00       1.480702E+00       1.153527E+00      -1.060552E-01       1.027663E-01
   36.00     0.00       1.441280E+00       1.138686E+00      -1.104994E-01       1.039017E-01
   37.00     0.00       1.401712E+00       1.122670E+00      -1.143908E-01       1.043415E-01
   38.00     0.00       1.362290E+00       1.105433E+00      -1.175700E-01       1.041890E-01
   39.00     0.00       1.323317E+00       1.087003E+00      -1.199115E-01       1.035980E-01
